,rg_state,rg_unit,rg_gdp,year
0,United States,Millions of chained 2012 dollars,6827700.288187708,1979.0
1,United States,Millions of chained 2012 dollars,6827222.411365234,1980.0
2,United States,Millions of chained 2012 dollars,7012547.104239218,1981.0
3,United States,Millions of chained 2012 dollars,6922469.131235059,1982.0
4,United States,Millions of chained 2012 dollars,7120967.981306959,1983.0
5,United States,Millions of chained 2012 dollars,7628881.782055174,1984.0
6,United States,Millions of chained 2012 dollars,7933291.265082816,1985.0
7,United States,Millions of chained 2012 dollars,8103923.053697935,1986.0
8,United States,Millions of chained 2012 dollars,8451430.461565007,1987.0
9,United States,Millions of chained 2012 dollars,8899167.526087586,1988.0
10,United States,Millions of chained 2012 dollars,9095857.787626468,1989.0
11,United States,Millions of chained 2012 dollars,9232382.995609412,1990.0
12,United States,Millions of chained 2012 dollars,9217917.068933284,1991.0
13,United States,Millions of chained 2012 dollars,9497071.957976017,1992.0
14,United States,Millions of chained 2012 dollars,9690657.271883426,1993.0
15,United States,Millions of chained 2012 dollars,10136560.991739575,1994.0
16,United States,Millions of chained 2012 dollars,10485329.849775402,1995.0
17,United States,Millions of chained 2012 dollars,10947941.734413596,1996.0
18,United States,Millions of chained 2012 dollars,11521938.0,1997.0
19,United States,Millions of chained 2012 dollars,12038283.0,1998.0
20,United States,Millions of chained 2012 dollars,12610491.0,1999.0
21,United States,Millions of chained 2012 dollars,13130987.0,2000.0
22,United States,Millions of chained 2012 dollars,13262079.0,2001.0
23,United States,Millions of chained 2012 dollars,13493064.0,2002.0
24,United States,Millions of chained 2012 dollars,13879129.0,2003.0
25,United States,Millions of chained 2012 dollars,14406382.0,2004.0
26,United States,Millions of chained 2012 dollars,14912509.0,2005.0
27,United States,Millions of chained 2012 dollars,15338257.0,2006.0
28,United States,Millions of chained 2012 dollars,15626029.0,2007.0
29,United States,Millions of chained 2012 dollars,15604687.0,2008.0
30,United States,Millions of chained 2012 dollars,15208834.0,2009.0
31,United States,Millions of chained 2012 dollars,15598753.0,2010.0
32,United States,Millions of chained 2012 dollars,15840664.0,2011.0
33,United States,Millions of chained 2012 dollars,16197007.0,2012.0
34,United States,Millions of chained 2012 dollars,16495369.0,2013.0
35,United States,Millions of chained 2012 dollars,16912038.0,2014.0
36,United States,Millions of chained 2012 dollars,17403843.0,2015.0
37,United States,Millions of chained 2012 dollars,17688890.0,2016.0
38,United States,Millions of chained 2012 dollars,18108082.0,2017.0
39,United States,Millions of chained 2012 dollars,18638164.0,2018.0
40,United States,Millions of chained 2012 dollars,19073056.0,2019.0
